品名,CAS号
氯酸钡,13477-00-4
重铬酸钡,13477-01-5
砷酸钡,13477-04-8
氢化钡,13477-09-3
次氯酸钡[含有效氯＞22%],13477-10-6
高氯酸钙,13477-36-6
三氯化钼,13478-18-7
硝酸镓,13494-90-1
硝酸钇,13494-98-9
"1,2-二乙基苯",135-01-3
N-苯基-2-萘胺,135-88-6
仲丁基苯,135-98-8
4-二甲基氨基-6-(2-二甲基氨乙基氧基)甲苯-2-重氮氯化锌盐,135072-82-1
砷酸银,13510-44-6
硫酸铍,13510-49-1
高氯酸亚铁,13520-69-9
重铬酸铯,13530-67-1
氟磷酸[无水],13537-32-1
硝酸铬,13548-38-4
"O,O-二乙基-O-喹噁咻-2-基硫代磷酸酯",13593-03-8
硝酸铍,13597-99-4
亚磷酸,13598-36-2
重氮氨基苯,136-35-6
高氯酸铅,13637-76-8
"2,2-二-(叔戊基过氧)丁烷[含量≤57%,含A型稀释剂≥43%]",13653-62-8
十溴联苯,13654-09-6
重铬酸铜,13675-47-3
氰化亚铜三钾,13682-73-0
2-甲苯硫酚,137-06-4
邻氨基苯硫醇,137-07-5
"双(N,N-二甲基甲硫酰)二硫化物",137-26-8
双(二甲基二硫代氨基甲酸)锌,137-30-4
2-甲基-1-丁醇,137-32-6
溴代环戊烷,137-43-9
氟化镧,13709-38-1
高碘酸钡,13718-58-6
亚硒酸钡,13718-59-7
硝酸锆,13746-89-9
硝酸钐,13759-83-6
硼氢化钾,13762-51-1
氯酸铯,13763-67-2
碘酸锂,13765-03-2
偏钒酸钾,13769-43-2
硝酸铟,13770-61-1
氢化铝钠,13770-96-2
亚硫酸氢镁,13774-25-9
二氟磷酸[无水],13779-41-4
亚硫酸氢钙,13780-03-5
亚硝酸钙,13780-06-8
亚硒酸钙,13780-18-2
对硝基苯磺酸,138-42-1
双戊烯,138-86-3
"4-亚硝基-N,N-二甲基苯胺",138-89-6
氟硼酸铅,13814-96-5
硝酸氧锆,13826-66-9
氟硼酸锌,13826-88-5
次氯酸锂,13840-33-0
重铬酸锂,13843-81-7
氯化溴,13863-41-7
氟铍酸钠,13871-27-7
苯酚钠,139-02-6
仲高碘酸钠,13940-38-0
仲丁胺,13952-84-6
氰化亚金钾,13967-50-5
溴酸钡,13967-90-3
三聚丙烯,13987-01-4
苯乙腈,140-29-4
N-氨基乙基哌嗪,140-31-8
1-二乙基氨基-4-氨基戊烷,140-80-7
丙烯酸乙酯[稳定的],140-88-5
重铬酸锌,14018-95-2
放线菌素,1402-38-6
硫氰酸汞钾,14099-12-8
正戊酸正丙酯,141-06-0
丙烯酸正丁酯[稳定的],141-32-2
2-氨基乙醇,141-43-5
乙醇钠,141-52-6
丙基三氯硅烷,141-57-1
"1,1,3,3-四甲基-1-丁硫醇",141-59-3
正丁酰氯,141-75-3
乙酸乙酯,141-78-6
4-甲基-3-戊烯-2-酮,141-79-7
盐酸-3-氯苯胺,141-85-5
"2,6-二甲基吗啉",141-91-3
"1,3-二乙基苯",141-93-5
氟硼酸银,14104-20-2
盐酸苯胺,142-04-1
"1,3-二氯丙烷",142-28-9
环戊烯,142-29-0
"1,2-亚乙基双二硫代氨基甲酸二钠",142-59-6
己酰氯,142-61-0
己酸,142-62-1
四氢吡喃,142-68-7
正庚烷,142-82-5
二正丙胺,142-84-7
乙酸正己酯,142-92-7
正丁醚,142-96-1
"2-特丁基-4,6-二硝基酚",1420-07-1
N-3-[1-羟基-2-(甲氨基)乙基]苯基甲烷磺酰胺甲磺酸盐,1421-68-7
铬酸铍,14216-88-7
氰化镍钾,14220-17-8
萘磺汞,14235-86-0
氰化金钾,14263-59-3
氰化亚铜三钠,14264-31-4
连二亚硫酸钾,14293-73-3
钒酸钾,14293-78-8
十氯酮,143-50-0
"O,O-二甲基-S-(吗啉代甲酰甲基)二硫代磷酸酯",144-41-2
原乙酸三甲酯,1445-45-0
氟硼酸镉,14486-19-2
六甲基二硅烷,1450-14-2
四丁基氢氧化磷,14518-69-5
溴酸镉,14518-94-6
溴酸锌,14519-07-4
溴酸锶,14519-18-7
"2,4,6-三硝基苯酚银[含水≥30%]",146-84-9
三丁基氯化锡,1461-22-9
四丁基锡,1461-25-2
盐酸-1-萘乙二胺,1465-25-4
"过氧化二碳酸二乙酯[在溶液中,含量≤27%]",14666-78-5
亚氯酸钙,14674-72-7
仲高碘酸钾,14691-87-3
"2,4,6-三溴苯胺",147-82-0
"四氯锌酸-2,5-二丁氧基-4-(4-吗啉基)-重氮苯(2:1)",14726-58-0
氰化铜,14763-77-0
左旋溶肉瘤素,148-82-3
氟铍酸铵,14874-86-3
原甲酸三甲酯,149-73-5
甲基苯基二氯硅烷,149-74-6
氰化钴(Ⅲ),14965-99-2
氧氯化铬,14977-61-8
硼酸三乙酯,150-46-9
过氧化邻苯二甲酸叔丁酯,15042-77-0
偏砷酸钠,15120-17-9
过硼酸钠,15120-21-5；7632-04-4；11138-47-9
硒酸铜,15123-69-0
亚硒酸铜,15168-20-4
"2,5-二甲基-1,4-二噁烷",15176-21-3
氯化二烯丙托锡弗林,15180-03-7
对硫氰酸苯胺,15191-25-0
3-辛炔,15232-76-5
"2,4,6-三硝基间苯二酚铅[湿的，按质量含水或乙醇和水的混合物不低于20%]",15245-44-0
挂-3-氯桥-6-氰基-2-降冰片酮-O-(甲基氨基甲酰基)肟,15271-41-7
焦硫酸汞,1537199-53-3
碘化亚汞,15385-57-6
亚硫酸氢锌,15457-98-4
连二亚硫酸钙,15512-36-4
二-(4-叔丁基环己基)过氧重碳酸酯[含量≤100%],15520-11-3
"2,2'-偶氮-二-(2,4-二甲基-4-甲氧基戊腈)",15545-97-8
氯化锌-3-氯-4-二乙氨基重氮苯,15557-00-3
亚硒酸铈,15586-47-7
亚硒酸镁,15593-61-0
4-乙氧基苯胺,156-43-4
氰氨化钙[含碳化钙＞0.1%],156-62-7
三乙基砷酸酯,15606-95-8
过氧重碳酸二环己酯[91%＜含量≤100%],1561-49-5
过氧化碳酸钠水合物,15630-89-4
"1,1-二叔戊过氧基环己烷[含量≤82%,含A型稀释剂≥18%]",15667-10-4
丙二醇乙醚,1569-02-4
环己基硫醇,1569-69-3
甘露糖醇六硝酸酯[湿的，按质量含水或乙醇和水的混合物不低于40％],15825-70-4
氧化亚汞,15829-53-5
"1,2-O-[(1R)-2,2,2-三氯亚乙基]-α-D-呋喃葡糖",15879-93-3
三甲基环己胺,15901-42-5
"N-(2,6-二乙基苯基)-N-甲氧基甲基-氯乙酰胺",15972-60-8
二正丙基过氧重碳酸酯[含量≤100%],16066-38-9
异氰酸叔丁酯,1609-86-5
过二碳酸二-(2-乙基己)酯[77%＜含量≤100%],16111-62-9
"1,2-二乙基肼",1615-80-1
"二-正丁基过氧重碳酸酯[含量≤27%,含B型稀释剂≥73%]",16215-49-9
硫酸对苯二胺,16245-77-5
1-戊烯-3-酮,1629-58-9
苯基二氯硅烷,1631-84-1
甲基叔丁基醚,1634-04-4
"1,1-二甲基环戊烷",1638-26-2
乙基环戊烷,1640-89-7
硝酸钕,16454-60-7
"2,4-二硝基苯磺酰氯",1656-44-6
"β,β'-氧化二丙腈",1656-48-0
"二叔丁基过氧壬二酸酯[含量≤52%,含A型稀释剂≥48%]",16580-06-6
"2-丙烯酸-1,1-二甲基乙基酯",1663-39-4
丙二酰氯,1663-67-8
二苯基二硒,1666-13-3
三氟乙酸铬,16712-29-1
"盐酸-4-氨基-N,N-二乙基苯胺",16713-15-8
硫氢化钠,16721-80-5
"2,2,4-三甲基己烷",16747-26-5
S-甲基-N-[(甲基氨基甲酰基)-氧基]硫代乙酰胺酸酯,16752-77-5
硝酸铈铵,16774-21-3
乙基环己烷,1678-91-7
1-环己基正丁烷,1678-93-9
环己基异丁烷,1678-98-4
2-甲基-2-丁硫醇,1679-09-0
氢化铝锂,16853-85-3
六氟合硅酸锌,16871-71-9
氟硅酸钾,16871-90-2
氟硼酸,16872-11-0
"3,5-二溴-4-羟基苄腈",1689-84-5
氟硅酸钠,16893-85-9
N-乙基-N-(2-羟乙基)全氟辛基磺酰胺,1691-99-2
氟锆酸钾,16923-95-8
氟钽酸钾,16924-00-8
2-硝基苯磺酰氯,1694-92-4
硼氢化钠,16940-66-2
六氟合磷氢酸[无水],16940-81-1
氯铂酸,16941-12-1
硼氢化锂,16949-15-8
六氟硅酸镁,16949-65-8
氟硅酸,16961-83-4
硼氢化铝,16962-07-5
过氧化钾,17014-71-0
氢氧化铊,17026-06-1
"2,2-二-(4,4-二(叔丁基过氧环己基)丙烷[含量≤22%,含B型稀释剂≥78%]",1705-60-8
"O-乙基-S,S-二苯基二硫代磷酸酯",17109-49-8
硝酸异丙酯,1712-64-7
六氟合硅酸钡,17125-80-3
二乙基二氯硅烷,1719-53-5
氢氧化钡,17194-00-2
1-甲基异喹啉,1721-93-3
β-二甲氨基丙腈,1738-25-6
氯甲酸仲丁酯,17462-58-7
全氟辛基磺酸,1763-23-1
2-氯丙酸甲酯,17639-93-9；77287-29-7
N-(1-正丁氨基甲酰基-2-苯并咪唑基)氨基甲酸甲酯,17804-35-2
亚硝酸镍,17861-62-0
乙基二氯硅烷,1789-58-8
异氰酸异丙酯,1795-48-8
亚磷酸二丁酯,1809-19-4
三甲基乙氧基硅烷,1825-62-3
"过氧化甲基异丙酮[活性氧含量≤6.7%,含A型稀释剂≥70%]",182893-11-4
甲酸烯丙酯,1838-59-1
二苄基二氯硅烷,18414-36-3
异氰酸异丁酯,1873-29-6
2-甲基-1-丁硫醇,1878-18-8
叠氮化钡,18810-58-7
氯甲酸苯酯,1885-14-9
N-异丙基-N-苯基-氯乙酰胺,1918-16-7
单过氧马来酸叔丁酯[含量＞52%],1931-62-0
"2,5-二氯甲苯",19398-61-9
"双过氧化壬二酸[含量≤27%,惰性固体含量≥73%]",1941-79-3
4-辛炔,1942-45-6
2-苯乙基异氰酸酯,1943-82-4
异戊醇钠,19533-24-5
"N-(4-氯邻甲苯基)-N,N-二甲基甲脒盐酸盐",19750-95-9
己醇钠,19779-06-7
三丁基氟化锡,1983-10-4
"2,6-二甲氧基苯甲酰氯",1989-53-3
过氧重碳酸二仲丁酯[52%＜含量＜100%],19910-65-7
"六硝基-1,2-二苯乙烯",20062-22-0
3-壬烯,20063-92-7
1-丁炔-3-醇,2028-63-9
甲基三乙氧基硅烷,2031-67-6
"4-N,N-二甲基氨基-3-甲基苯基N-甲基氨基甲酸酯",2032-59-9
甲基胂酸锌,20324-26-9
"盐酸-3,3'-二甲氧基-4,4'-二氨基联苯",20325-40-0
3-氨基苯胂酸,2038-72-4
正丁基环戊烷,2040-95-1
正丙基环戊烷,2040-96-2
2-氨基苯胂酸,2045-00-3
乙二酸二丁酯,2050-60-4
二正戊胺,2050-92-2
4-氯化联苯,2051-62-9
丁酸丙烯酯,2051-78-7
四丁基氢氧化铵,2052-49-5
硫氰酸汞铵,20564-21-0
氯化钾汞,20582-71-2
萤蒽,206-44-0
氧化银,20667-12-3
硝酸锰,20694-39-7
"2,2’,4,4’,5,6’-六溴二苯醚",207122-15-4
"2,2’,3,4,4’,5’,6-七溴二苯醚",207122-16-5
磷化钾,20770-41-6
7
地高辛,20830-75-5
磷化铝,20859-73-8
硫氰酸钙,2092-16-2
"1,1'-偶氮-二-(六氢苄腈)",2094-98-6
亚硒酸铝,20960-77-4
硫化钡,21109-95-5
4-苄基吡啶,2116-65-6
氢氧化铯,21351-79-1
"过氧化二碳酸二苯甲酯[含量≤87%,含水]",2144-45-8
三丁锡甲基丙烯酸,2155-70-6
"O-甲基-O-(4-溴-2,5-二氯苯基)苯基硫代磷酸酯",21609-90-5
"2,2-二-(叔丁基过氧)丁烷[含量≤52%,含A型稀释剂≥48%]",2167-23-9
氯化锌-4-苄乙氨基-3-乙氧基重氮苯,21723-86-4
四唑并-1-乙酸,21732-17-2
"O,O-二乙基-O-2,5-二氯-4-甲硫基苯基硫代磷酸酯",21923-23-9；60238-56-4
4-壬烯,2198-23-4
硝酸甲胺,22113-87-7
"N,N-六亚甲基硫代氨基甲酸-S-乙酯",2212-67-1
氯甲酸氯甲酯,22128-62-7
"2,4-二甲基庚烷",2213-23-2
"4-硝基-N,N-二乙基苯胺",2216-15-1
"2,5-二甲基庚烷",2216-30-0
2-壬烯,2216-38-8
"5,6,7,8-四氢-1-萘胺",2217-41-6
"N-苯甲基-N-(3,4-二氯基本)-DL-丙氨酸乙酯",22212-55-1
O-乙基-O-(3-甲基-4-甲硫基)苯基-N-异丙氨基磷酸酯,22224-92-6
3-二甲基氨基亚甲基亚氨基苯基-N-甲基氨基甲酸酯(或其盐酸盐),22259-30-9；23422-53-9
"1,1,3,3-过氧新戊酸四甲叔丁酯[含量≤77%,含A型稀释剂≥23%]",22288-41-1
"1,1,3,3-四甲基丁基过氧-2-乙基己酸酯[含量≤100%]",22288-43-3
叔丁基过氧-2-甲基苯甲酸酯[含量≤100%],22313-62-8
磷酸二乙基汞,2235-25-8
3-氨基苯甲腈,2237-30-1
二(2-环氧丙基)醚,2238-07-5
"3,3,6,6,9,9-六甲基-1,2,4,5-四氧环壬烷[含量52%～100%]",22397-33-7
"O,O-二乙基-S-(2,5-二氯苯硫基甲基)二硫代磷酸酯",2275-14-1
三丙基氯化锡,2279-76-7
硅化镁,22831-39-6；39404-03-0
"1-(2-过氧化乙基己醇-1,3-二甲基丁基过氧化新戊酸酯[含量≤52%,含A型稀释剂≥45%,含B型稀释剂≥10%]",228415-62-1
"4,6-二硝基邻甲苯酚钠",2312-76-7
O-(甲基氨基甲酰基)-1-二甲氨基甲酰-1-甲硫基甲醛肟,23135-22-0
氨基化钙,23321-74-6
5-硝基苯并三唑,2338-12-7
"过氧新戊酸枯酯[含量≤77%,含B型稀释剂≥23%]",23383-59-7
高锰酸锌,23414-72-4
氟乙酸-2-苯酰肼,2343-36-4
氯甲基三甲基硅烷,2344-80-1
"过氧丁烯酸叔丁酯[含量≤77%,含A型稀释剂≥23%]",23474-91-1
"过氧异丙基碳酸叔丁酯[含量≤77%,含A型稀释剂≥23%]",2372-21-6
丁醇钠,2372-45-4
氟乙酸钾,23745-86-0
全氯五环癸烷,2385-85-5
过氧化月桂酸[含量≤100%],2388-12-7
二-(1-羟基环己基)过氧化物[含量≤100%],2407-94-5
丙酸烯丙酯,2408-20-0
三丁基锡亚油酸,24124-25-2
3-溴丙腈,2417-90-5
N-四氯乙硫基四氢酞酰亚胺,2425-06-1
四氢邻苯二甲酸酐[含马来酐＞0.05%],2426-02-0
"2,5-双(1-吖丙啶基)-3-(2-氨甲酰氧-1-甲氧乙基)-6-甲基-1,4-苯醌",24279-91-2
"2,3,4-三氯-1-丁烯",2431-50-7
乙烯基乙酸异丁酯,24342-03-8
O-甲基-O-(2-异丙氧基甲酰基苯基)硫代磷酰胺,24353-61-5
"6-甲基-1,4-二氮萘基-2,3-二硫代碳酸酯",2439-01-2
N-(2-羟乙基)-N-甲基全氟辛基磺酰胺,24448-09-7
氯甲酸-2-乙基己酯,24468-13-1
"1,2-二甲基环戊烷",2452-99-5
"1,3-二甲基环戊烷",2453-00-1
"草酸-4-氨基-N,N-二甲基苯胺",24631-29-6
砷酸铵,24719-13-9
"3,6,9-三乙基-3,6,9-三甲基-1,4,7-三过氧壬烷[含量≤42%,含A型稀释剂≥58%]",24748-23-0
异氰酸对溴苯酯,2493-02-9
"O,O-二乙基-S-(2-乙基亚磺酰基乙基)二硫代磷酸酯",2497-07-6
乙烯基甲苯异构体混合物[稳定的],25013-15-4
三硝基苯磺酸,2508-19-2
"1,2-二溴-3-丁酮",25109-57-3
全氟辛基磺酸二癸二甲基铵,251099-16-8
二甲基二噁烷,25136-55-4
壬基酚,25154-52-3
"过氧化氢二叔丁基异丙基苯[42%＜含量≤100%,惰性固体含量≤57%]",25155-25-3
环丙基甲醇,2516-33-8
氯硝基苯异构体混合物,25167-93-5
"O,O'-二乙基硫代磷酰氯",2524-04-1
3-硝基吡啶,2530-26-9
O-乙基-O-[(2-异丙氧基酰基)苯基]-N-异丙基硫代磷酰胺,25311-71-1
磷化锡,25324-56-5
硫酸苯肼,2545-79-1
氯乙酸乙烯酯,2549-51-1
氟代甲苯,25496-08-6
六氟化硫,2551-62-4
"2,3-二氢吡喃",25512-65-6
二亚硝基苯,25550-55-4
二硝基苯酚[干的或含水＜15%],25550-58-7
"3,3,5-三甲基己撑二胺",25620-58-0；25513-64-8
甲基环己醇,25639-42-3
碘酸锰,25659-29-4
碘酸铅,25659-31-8
杜廷,2571-22-4
氨基胍重碳酸盐,2582-30-1
"O,O-二甲基-S-(2-甲硫基乙基)二硫代磷酸酯(II)",2587-90-8
"O,O-二乙基-S-乙基亚磺酰基甲基二硫代磷酸酯",2588-03-6
亚胺乙汞,2597-93-5
10-氮杂蒽,260-94-6
"氯化锌-2,5-二乙氧基-4-吗啉代重氮苯",26123-91-1
氮化锂,26134-62-3
"2,2-过氧化二氢丙烷[含量≤27%,含惰性固体≥73%]",2614-76-8
"2,5-二甲基-2,5-双(苯甲酰过氧)己烷[82%＜含量≤100%]",2618-77-1
3-异丙基-5-甲基苯基N-甲基氨基甲酸酯,2631-37-0
联十六烷基过氧重碳酸酯[含量≤100%],26322-14-5
"O,O-二甲基-S-(乙基氨基甲酰甲基)二硫代磷酸酯",2642-71-9
二苯基甲烷二异氰酸酯,26447-40-5
甲苯二异氰酸酯,26471-62-5
氯酸铜,26506-47-8
甲基环戊二烯,26519-91-5
2-重氮-1-萘酚-5-磺酸钠,2657-00-3
氯苯基三氯硅烷,26571-79-9
异辛烷,26635-64-3
"1,3-二磺酰肼苯",26747-93-3
"过氧化新庚酸叔丁酯[含量≤42%,在水中稳定弥散]",26748-38-9
"过新癸酸叔己酯[含量≤71%,含A型稀释剂≥29%]",26748-41-4
叔丁基过氧新癸酸酯[77%＜含量≤100%],26748-41-4
"过氧新癸酸枯酯[含量≤52%,在水中稳定弥散]",26748-47-0
"异丙基异丙苯基氢过氧化物[含量≤72%,含A型稀释剂≥28%]",26762-93-6
环四亚甲基四硝胺[含水≥15%],2691-41-0
亚硝酰氯,2696-92-6
硫酰氟,2699-79-8
苯并呋喃,271-89-6
二氯苯胺异构体混合物,27134-27-6
二氯苯基三氯硅烷,27137-85-5
盐酸苯肼,27140-08-5
辛基苯酚,27193-28-8
二异辛基磷酸,27215-10-7
异己烯,27236-46-0
"N,N-二乙基邻甲苯胺",2728-04-3
"2,6-二甲基-3-庚烯",2738-18-3
丙二酸铊,2757-18-8
5-(氨基甲基)-3-异噁唑醇,2763-96-4
硫酸氧钒,27774-13-6
二氯异氰尿酸,2782-57-2
八溴联苯,27858-07-7
全氟辛基磺酸钾,2795-39-3
亚硒酸银,28041-84-1
"过氧化甲基异丁基酮[含量≤62%,含A型稀释剂≥19%]",28056-59-9
2-辛炔,2809-67-8
烟碱氯化氢,2820-51-1
酒石酸锑钾,28300-74-5
氢过氧化蒎烷[56%＜含量≤100%],28324-52-9
六硝基二苯胺铵盐,2844-92-0
异氰酸-3-氯-4-甲苯酯,28479-22-3
"5-氨基-1,3,3-三甲基环己甲胺",2855-13-2
氧化环己烯,286-20-4
三硝基苯甲醚,28653-16-9
甲基丙烯酸-2-二甲氨乙酯,2867-47-2
环丁烷,287-23-0
环戊烷,287-92-3
六硝基二苯硫,28930-30-5
砷酸锑,28980-47-4
四硝基萘,28995-89-3
全氟辛基磺酸铵,29081-56-9
环庚烷,291-64-5
丙烯酸羟丙酯,2918-23-2
环辛烷,292-64-8
"叔戊基过氧戊酸酯[含量≤77%,含B型稀释剂≥23%]",29240-17-3
聚乙烯聚胺,29320-38-5
氯甲酸烯丙基酯[稳定的],2937-50-0
硫代氯甲酸乙酯,2941-64-2
全氟辛基磺酸锂,29457-72-5
碘酸铁,29515-61-5
2-丙烯酸异辛酯,29590-42-9
水杨酸化烟碱,29790-52-1
"O,O-二甲基-O-(4-硝基苯基)硫代磷酸酯",298-00-0
二-(2-乙基己基)磷酸酯,298-07-7
二氧化丁二烯,298-18-0
溴乙酸异丙酯,29921-57-1
2-乙硫基苄基N-甲基氨基甲酸酯,29973-13-5
异氰基乙酸乙酯,2999-46-4
二甲基镁,2999-74-8
"O,O-二甲基-O-(1,2-二溴-2,2-二氯乙基)磷酸酯",300-76-5
叔丁基过氧-2-乙基己酸酯[52%＜含量≤100%],3006-82-4
"1,1-二-(叔丁基过氧)环己烷[80%＜含量≤100%]",3006-86-8
乙酸铅,301-04-2
辛酸亚锡,301-10-0
硫氰酸苄,3012-37-1
1-氯-2-溴丙烷,3017-95-6
2-氯-1-溴丙烷,3017-96-7
二氯乙腈,3018-12-0
无水肼[含肼＞64%],302-01-2
"2,5-二甲基-2,5-二氢过氧化己烷[含量≤82%]",3025-88-5
赭曲毒素A,303-47-9
2-硝基苯肼,3034-19-3
二-(2-甲基苯甲酰)过氧化物[含量≤87%],3034-79-5
多聚甲醛,30525-89-4
"3,3-二乙氧基丙烯",3054-95-3
五甲基庚烷,30586-18-6
甲基狄戈辛,30685-43-9
全氟辛基磺酰氟,307-35-7
碳酸乙丁酯,30714-78-4
"2,3-二甲基庚烷",3074-71-3
钛酸四乙酯,3087-36-3
钛酸四正丙酯,3087-37-4
月桂酸三丁基锡,3090-36-6
N-环己基环己胺亚硝酸盐,3129-91-7
"3-溴-1,2-环氧丙烷",3132-64-7
二戊基磷酸,3138-42-9
"4-N,N-二甲基氨基-3,5-二甲基苯基N-甲基氨基甲酸酯",315-18-4
N-甲基全氟辛基磺酰胺,31506-32-8
4-氯正丁酸乙酯,3153-36-4
4-氯邻甲苯胺盐酸盐,3165-93-3
异氰酸环己酯,3173-53-3
叔丁基环己烷,3178-22-1
"乙酰过氧化磺酰环己烷[含量≤32%,含B型稀释剂≥68%]",3179-56-4
"N,N-二甲基丙醇胺",3179-63-3
"1-羟环丁-1-烯-3,4-二酮",31876-38-7
氯甲基乙醚,3188-13-4
α-六氯环己烷,319-84-6
β-六氯环己烷,319-85-7
"2,3-二氯硝基苯",3209-22-1
"硫酸-2,5-二乙氧基-4-(4-吗啉基)-重氮苯",32178-39-5
二(三氯甲基)碳酸酯,32315-10-9
"过氧化丙酰[含量≤27%,含B型稀释剂≥73%]",3248-28-0
五溴二苯醚,32534-81-9
异戊酸异丙酯,32665-23-9
4-硫代戊醛,3268-49-3
"O-乙基-O-2,4,5-三氯苯基-乙基硫代膦酸酯",327-98-0
"2,3-二甲基戊醛",32749-94-3
三甲基乙酰氯,3282-30-2
异氰酸三氟甲苯酯,329-01-1
"2,5-二硝基苯酚[含水≥15%]",329-71-5
过二碳酸钠,3313-92-6
"2,4,6-三硝基苯酚钠",3324-58-1
重氮甲烷,334-88-3
氯化锌-4-二丙氨基重氮苯,33864-17-4
溴酸铅,34018-28-5
"叔戊基过氧化氢[含量≤88%,含A型稀释剂≥6%,含水≥6%]",3425-61-4
N-(2-乙基-6-甲基苯基)-N-乙氧基甲基-氯乙酰胺,34256-82-1
"过氧化二异丁酰[含量≤32%,含B型稀释剂≥68%]",3437-84-1
草酸汞,3444-13-1
叔丁基过氧-2-乙基己碳酸酯[含量≤100%],34443-12-4
过氧化叔丁基异丙基苯[42%＜含量≤100%],3457-61-2
2-氯氟苯,348-51-6
2-氟苯胺,348-54-9
苯硫代二氯化膦,3497-00-5
4-氟甲苯,352-32-9
4-氯氟苯,352-33-0
3-氟甲苯,352-70-5
二乙硫醚,352-93-2
"2,2,5-三甲基己烷",3522-94-9
溴乙酸正丙酯,35223-80-4
氟乙烷,353-36-6
三氟化硼甲醚络合物,353-42-4
羰基氟,353-50-4
氯二氟溴甲烷,353-59-3
三氟乙酰氯,354-32-5
硝酸镱,35725-34-9；13768-67-7
八氟-2-丁烯,360-89-4
六溴联苯,36355-01-8
"2,5-二溴苯胺",3638-73-1
氟硼酸-3-甲基-4-(吡咯烷-1-基)重氮苯,36422-95-4
2-重氮-1-萘酚-4-磺酰氯,36451-09-9
六溴二苯醚,36483-60-0
"1,6-二-(过氧化叔丁基-羰基氧)己烷[含量≤72%,含A型稀释剂≥28%]",36536-42-2
"1,2-二氟苯",367-11-3
"2,3,4,6-四硝基苯胺",3698-54-2
4-氟苯胺,371-40-4
丙胺氟磷,371-86-8
辛二烯,3710-30-3
"过氧化乙酰丙酮[糊状物,含量≤32%,含溶剂≥44%,含水≥9%,带有惰性固体≥11%]",37187-22-7
氰基乙酸,372-09-8
"1,3-二氟苯",372-18-9
3-氟苯胺,372-19-0
赭曲毒素,37203-43-3
"过氧化异丁基甲基甲酮[在溶液中,含量≤62%,含A型稀释剂≥19%，含甲基异丁基酮]",37206-20-5
2-丁烯酸,3724-65-0
