品名,CAS号
N-二乙氨基乙基氯,100-35-6
4-己烯-1-炔-3-醇,10138-60-0
三正丁胺,102-82-9
O-甲基-S-甲基-硫代磷酰胺,10265-92-6
异氰酸苯酯,103-71-9
"5-氨基-3-苯基-1-[双(N,N-二甲基氨基氧膦基)]-1,2,4-三唑[含量＞20%]",1031-47-6
2-氯乙醇,107-07-3
3-氨基丙烯,107-11-9
丙腈,107-12-0
羟基乙腈,107-16-4
2-丙烯-1-醇,107-18-6
2-丙炔-1-醇,107-19-7
氯甲基甲醚,107-30-2
四乙基焦磷酸酯,107-49-3
苯基硫醇,108-98-5
乙酸三甲基锡,1118-14-5
双(二甲胺基)磷酰氟[含量＞2%],115-26-4
"O,O-二乙基-S-(4-甲基亚磺酰基苯基)硫代磷酸酯[含量＞4%]",115-90-2
O-甲基氨基甲酰基-2-甲基-2-(甲硫基)丙醛肟,116-06-3
"1-异丙基-3-甲基吡唑-5-基N,N-二甲基氨基甲酸酯[含量＞20%]",119-38-0
甲基磺酰氯,124-63-0
五氧化二砷,1303-28-2
"O,O-二乙基-S-叔丁基硫甲基二硫代磷酸酯",13071-79-9
三氧化二砷,1327-53-3
硒酸钠,13410-01-0
羰基镍,13463-39-3
五羰基铁,13463-40-6
五氟化氯,13637-63-3
抗霉素A,1397-94-0
"(E)-O,O-二甲基-O-[1-甲基-2-(二甲基氨基甲酰)乙烯基]磷酸酯[含量＞25%]",141-66-2
氰化钠,143-33-9
氟乙酸,144-49-0
乙酸甲氧基乙基汞,151-38-2
氰化钾,151-50-8
乙撑亚胺,151-56-4
八甲基焦磷酰胺,152-16-9
"2,3-二氢-2,2-二甲基苯并呋喃-7-基-N-甲基氨基甲酸酯",1563-66-2
乙酸汞,1600-27-7
"2,3,7,8-四氯二苯并对二噁英",1746-01-6
癸硼烷,17702-41-9
乙酸三乙基锡,1907-13-7
乙硼烷,19287-45-7
戊硼烷,19624-22-7
四氧化锇,20816-12-0
O-乙基-O-(4-硝基苯基)苯基硫代膦酸酯[含量＞15%],2104-64-5
"O,O-二乙基-N-1,3-二噻丁环-2-亚基磷酰胺",21548-32-3
氧化汞,21908-53-2
"O,O-二乙基-S-(异丙基氨基甲酰甲基)二硫代磷酸酯[含量＞15%]",2275-18-5
羟间唑啉(盐酸盐),2315-02-8
镰刀菌酮X,23255-69-8
乳酸苯汞三乙醇铵,23319-66-6
"O,O-二乙基-S-氯甲基二硫代磷酸酯[含量＞15%]",24934-91-6
"O,O'-二甲基硫代磷酰氯",2524-03-0
叠氮化钠,26628-22-8
亚砷酸钙,27152-57-4
3-[3-(4-溴联苯-4-基)-3-羟基-1-苯丙基]-4-羟基香豆素,28772-56-7
"1-(对氯苯基)-2,8,9-三氧-5-氮-1-硅双环(3,3,3)十二烷",29025-67-0
"1,3,4,5,6,7,8,8-八氯-1,3,3a,4,7,7a-六氢-4,7-甲撑异苯并呋喃[含量＞1%]",297-78-9
"O,O-二乙基-O-2-吡嗪基硫代磷酸酯[含量＞5%]",297-97-2
"O,O-二乙基-S-(乙硫基甲基)二硫代磷酸酯",298-02-2
"O,O-二乙基-S-(2-乙硫基乙基)二硫代磷酸酯[含量＞15%]",298-04-4
"O,O-二乙基-O-(4-甲基香豆素基-7)硫代磷酸酯",299-45-6
乌头碱,302-27-2
"六氟-2,3-二氯-2-丁烯",303-04-8
"1,2,3,4,10,10-六氯-1,4,4a,5,8,8a-六氢-1,4：5,8-桥,挂-二甲撑萘[含量＞75%]",309-00-2
"O,O-二乙基-O-(4-硝基苯基)磷酸酯",311-45-5
盐酸吐根碱,316-42-7
二甲基-4-(甲基硫代)苯基磷酸酯,3254-63-5
"O,O-二乙基-S-(对硝基苯基)硫代磷酸",3270-86-8
一氟乙酸对溴苯胺,351-05-3
甲藻毒素(二盐酸盐),35523-89-8
二甲氧基马钱子碱,357-57-3
"O,O,O',O'-四乙基二硫代焦磷酸酯",3689-24-5
"2-[(RS)-2-(4-氯苯基)-2-苯基乙酰基]-2,3-二氢-1,3-茚二酮[含量＞4%]",3691-35-8
八氟异丁烯,382-21-8
"O-甲基氨基甲酰基-3,3-二甲基-1-(甲硫基)丁醛肟",39196-18-4
硫代磷酰氯,3982-91-0
"O,O-双(4-氯苯基)N-(1-亚氨基)乙基硫代磷酸胺",4104-14-7
氟乙酸甲酯,453-18-9
"1,2,3,4,10,10-六氯-1,4,4a,5,8,8a-六氢-1,4-挂-5,8-挂二亚甲基萘[含量＞10%]",465-73-6
"O,O-二乙基-O-[2-氯-1-(2,4-二氯苯基)乙烯基]磷酸酯[含量＞20%]",470-90-6
氰胍甲汞,502-39-6
氰化银钾,506-61-6
氯化氰,506-77-4
四硝基甲烷,509-14-8
双(2-氯乙基)甲胺,51-75-2
"2-甲基-4,6-二硝基酚",534-52-1
1-(3-吡啶甲基)-3-(4-硝基苯基)脲,53558-25-1
(S)-3-(1-甲基吡咯烷-2-基)吡啶,54-11-5
"1,2-二甲基肼",540-73-8
氯甲酸乙酯,541-41-3
氰化镉,542-83-6
双(1-甲基乙基)氟磷酸酯,55-91-4
甲烷磺酰氟,558-25-8
"O,O-二乙基-O-(4-硝基苯基)硫代磷酸酯[含量＞4%]",56-38-2
"3-[3-(4'-溴联苯-4-基)-1,2,3,4-四氢-1-萘基]-4-羟基香豆素",56073-10-0
N-乙烯基乙撑亚胺,5628-99-9
"1,1-二甲基肼",57-14-7
二甲双胍,57-24-9
硫酸三乙基锡,57-52-3
"2,3,4,7,8-五氯二苯并呋喃",57117-31-4
"3-(1,2,3,4-四氢-1-萘基)-4-羟基香豆素",5836-29-3
全氯甲硫醇,594-42-3
甲基肼,60-34-4
1351,"(1R,4S,4aS,5R,6R,7S,8S,8aR)-1,2,3,4,10,10-六氯-1,4,4a,5,6,7,8,8a-八氢-6,7-环氧-1,4,5,8-二亚甲基萘[～90%]",60-57-1
氟乙酸钠,62-74-8
异氰酸甲酯,624-83-9
二乙基汞,627-44-1
氟乙酰胺,640-19-7
3-(1-甲基-2-四氢吡咯基)吡啶硫酸盐,65-30-5
"5-[(双(2-氯乙基)氨基]-2,4-(1H,3H)嘧啶二酮",66-75-1
"O,O-二甲基-O-[1-甲基-2-(甲基氨基甲酰)乙烯基]磷酸酯[含量＞0.5%]",6923-22-4
苯胂化二氯,696-28-6
"(1R,4S,5R,8S)-1,2,3,4,10,10-六氯-1,4,4a,5,6,7,8,8a-八氢-6,7-环氧-1,4；5,8-二亚甲基萘[含量＞5%]",72-20-8
氰化氢,74-90-8
硫酸铊,7446-18-6
氯化汞,7487-94-7
碳酰氯,75-44-5
丙烯亚胺,75-55-8
丙酮氰醇,75-86-5
三氯硝基甲烷,76-06-2
五氯化锑,7647-18-9
六氯环戊二烯,77-47-4
乙烯砜,77-77-0
氟,7782-41-4
氯,7782-50-5
亚硒酸氢钠,7782-82-3
二氟化氧,7783-41-7
砷化氢,7784-42-1
O-O-二甲基-O-(2-甲氧甲酰基-1-甲基)乙烯基磷酸酯[含量＞5%],7786-34-7
四乙基铅,78-00-2
"S-[2-(二乙氨基)乙基]-O,O-二乙基硫赶磷酸酯",78-53-5
3-丁烯-2-酮,78-94-4
2-羟基丙腈,78-97-7
磷化氢,7803-51-2
氯甲酸甲酯,79-22-1
"2,6-二噻-1,3,5,7-四氮三环-[3,3,1,1,3,7]癸烷-2,2,6,6-四氧化物",80-12-6
"O,O-二乙基-O-(2-乙硫基乙基)硫代磷酸酯与O,O-二乙基-S-(2-乙硫基乙基)硫代磷酸酯的混合物[含量＞3%]",8065-48-3
"1,3-二氟丙-2-醇(Ⅰ)与1-氯-3-氟丙-2-醇(Ⅱ)的混合物",8065-71-2
氯代膦酸二乙酯,814-49-3
"2-(二苯基乙酰基)-2,3-二氢-1,3-茚二酮",82-66-6
五氯苯酚,87-86-5
"N,N-二甲基氨基乙腈",926-64-7
O-乙基-S-苯基乙基二硫代膦酸酯[含量＞6%],944-22-9
"O,O-二乙基-N-(1,3-二硫戊环-2-亚基)磷酰胺[含量＞15%]",947-02-4
"O,O-二乙基-N-(4-甲基-1,3-二硫戊环-2-亚基)磷酰胺[含量＞5%]",950-10-7
"O,O-二甲基-对硝基苯基磷酸酯",950-35-6
2-硝基-4-甲氧基苯胺,96-96-8